id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
3503,1980,岩手県 九戸郡 野田村,2897,716,NA
3506,1980,岩手県 九戸郡 九戸村,4398,1051,NA
3507,1980,岩手県 九戸郡 洋野町,12730,3231,NA
3524,1980,岩手県 二戸郡 一戸町,10853,2460,NA
4100,1980,宮城県 仙台市,398394,142135,NA
4202,1980,宮城県 石巻市,95604,27232,NA
4203,1980,宮城県 塩竈市,31552,9443,1
4205,1980,宮城県 気仙沼市,47280,13267,NA
4206,1980,宮城県 白石市,21325,5668,NA
4207,1980,宮城県 名取市,25028,7892,NA
4208,1980,宮城県 角田市,17185,4499,NA
4209,1980,宮城県 多賀城市,24431,8798,NA
4211,1980,宮城県 岩沼市,17553,5626,NA
4212,1980,宮城県 登米市,50708,12231,NA
4213,1980,宮城県 栗原市,49695,11511,NA
4214,1980,宮城県 東松島市,18576,5488,NA
4215,1980,宮城県 大崎市,67203,18426,NA
4216,1980,宮城県 富谷市,7015,2448,NA
4301,1980,宮城県 刈田郡 蔵王町,7052,1739,NA
4302,1980,宮城県 刈田郡 七ヶ宿町,1516,262,NA
4321,1980,宮城県 柴田郡 大河原町,9845,3021,NA
4322,1980,宮城県 柴田郡 村田町,6771,1774,NA
4323,1980,宮城県 柴田郡 柴田町,16037,4992,NA
4324,1980,宮城県 柴田郡 川崎町,5372,1331,NA
4341,1980,宮城県 伊具郡 丸森町,10519,2304,NA
4361,1980,宮城県 亘理郡 亘理町,14297,4120,NA
