id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1564,北海道 オホーツク総合振興局 大空町,0,9565,2583,NA,6775,970,NA,-29.16884474647151,-62.44676732481611
1571,北海道 胆振総合振興局 豊浦町,0,6424,1520,NA,3821,551,7,-40.51992528019925,-63.74999999999999
1575,北海道 胆振総合振興局 壮瞥町,0,4292,1098,NA,2743,355,52,-36.090400745573156,-67.66848816029145
1578,北海道 胆振総合振興局 白老町,0,24168,7203,3,16212,2018,41,-32.91956305858987,-71.98389559905594
1581,北海道 胆振総合振興局 厚真町,0,6817,1652,1,4432,753,16,-34.98606425113686,-54.41888619854722
1584,北海道 胆振総合振興局 洞爺湖町,0,14401,3971,NA,8442,1154,26,-41.37907089785432,-70.93930999748174
1585,北海道 胆振総合振興局 安平町,0,11258,3140,NA,7340,1194,1,-34.80191863563689,-61.974522292993626
1586,北海道 胆振総合振興局 むかわ町,0,14591,3959,NA,7651,1153,41,-47.56356658213967,-70.87648396059612
1601,北海道 日高振興局 日高町,0,18875,5371,NA,11279,1876,NA,-40.24370860927152,-65.07168125116365
1602,北海道 日高振興局 平取町,0,8494,2099,NA,4776,720,6,-43.77207440546268,-65.69795140543116
1604,北海道 日高振興局 新冠町,0,7634,2109,NA,5309,921,12,-30.455855383809272,-56.33001422475107
1607,北海道 日高振興局 浦河町,0,19408,5481,NA,12074,2222,NA,-37.78854080791426,-59.45995256340084
1608,北海道 日高振興局 様似町,0,7986,2099,NA,4043,544,NA,-49.37390433258202,-74.08289661743687
1609,北海道 日高振興局 えりも町,0,7520,2199,NA,4374,770,1,-41.83510638297873,-64.98408367439745
1610,北海道 日高振興局 新ひだか町,0,33190,9671,NA,21517,3607,89,-35.17023199758964,-62.702926274428705
1631,北海道 十勝総合振興局 音更町,0,31134,9677,NA,43576,7571,148,39.96274169717993,-21.762943060865968
1632,北海道 十勝総合振興局 士幌町,0,6979,1915,NA,5848,1102,8,-16.205760137555526,-42.454308093994776
1633,北海道 十勝総合振興局 上士幌町,0,7571,2005,NA,4778,949,1,-36.890767401928414,-52.66832917705735
1634,北海道 十勝総合振興局 鹿追町,0,6744,2014,NA,5266,1045,8,-21.915776986951364,-48.113207547169814
1635,北海道 十勝総合振興局 新得町,0,9502,2516,NA,5817,989,NA,-38.78130919806356,-60.69157392686804
1636,北海道 十勝総合振興局 清水町,0,13352,3616,NA,9094,1485,268,-31.89035350509287,-58.932522123893804
1637,北海道 十勝総合振興局 芽室町,0,16580,4742,NA,18048,2930,41,8.85404101326901,-38.21172501054407
1638,北海道 十勝総合振興局 中札内村,0,3785,1036,NA,3884,725,NA,2.615587846763545,-30.01930501930502
1639,北海道 十勝総合振興局 更別村,0,3624,905,NA,3080,556,NA,-15.011037527593817,-38.56353591160221
1641,北海道 十勝総合振興局 大樹町,0,8356,2312,NA,5420,1099,NA,-35.13642891335568,-52.465397923875436
1642,北海道 十勝総合振興局 広尾町,0,11512,3339,NA,6387,947,14,-44.51876302988186,-71.63821503444146
1643,北海道 十勝総合振興局 幕別町,0,22390,6653,NA,25766,4033,40,15.078159892809296,-39.38073049751991
1644,北海道 十勝総合振興局 池田町,0,11902,3167,NA,6294,870,2,-47.118131406486306,-72.52920745184717
1645,北海道 十勝総合振興局 豊頃町,0,5779,1415,NA,3022,496,NA,-47.707215781277036,-64.9469964664311
1646,北海道 十勝総合振興局 本別町,0,13253,3572,NA,6618,945,2,-50.06413642194221,-73.54423292273236
1647,北海道 十勝総合振興局 足寄町,0,12667,3291,NA,6563,956,14,-48.18820557353754,-70.95107869948343
1648,北海道 十勝総合振興局 陸別町,0,5002,1236,NA,2264,383,NA,-54.73810475809676,-69.01294498381877
1649,北海道 十勝総合振興局 浦幌町,0,9693,2529,NA,4387,676,9,-54.740534406272566,-73.27006722024517
1661,北海道 釧路総合振興局 釧路町,0,13123,4731,NA,19105,3647,157,45.58408900403872,-22.912703445360393
1662,北海道 釧路総合振興局 厚岸町,0,15940,4467,NA,8892,1566,1,-44.215809284818064,-64.942914707857625
1663,北海道 釧路総合振興局 浜中町,0,9243,2618,NA,5507,1043,6,-40.41977712863789,-60.16042780748663
1664,北海道 釧路総合振興局 標茶町,0,12297,3469,NA,7230,1235,NA,-41.20517199316907,-64.3989622369559
1665,北海道 釧路総合振興局 弟子屈町,0,12206,3537,NA,6955,934,91,-43.01982631492709,-73.59344076901328
1667,北海道 釧路総合振興局 鶴居村,0,2638,738,NA,2558,398,11,-3.0326004548900665,-46.070460704607044
1668,北海道 釧路総合振興局 白糠町,0,14514,4044,NA,7289,1046,2,-49.77952321896101,-74.13452027695351
1691,北海道 根室振興局 別海町,0,19035,6011,NA,14380,2819,543,-24.454951405306012,-53.102645150557315
1692,北海道 根室振興局 中標津町,0,21187,7382,NA,23010,4561,89,8.604332845612884,-38.214575995665136
1693,北海道 根室振興局 標津町,0,7730,2331,NA,5023,899,19,-35.019404915912034,-61.43286143286144
1694,北海道 根室振興局 羅臼町,0,8299,2645,NA,4722,799,4,-43.10157850343415,-69.79206049149337
2201,青森県 青森市,0,309768,99008,NA,275192,44995,12243,-11.161901810387132,-54.55417744020685
2202,青森県 弘前市,0,192291,58508,NA,168466,31585,2012,-12.390075458549799,-46.01592944554591
2203,青森県 八戸市,0,245617,80064,NA,223415,39603,1884,-9.039276597303935,-50.53582134292566
2204,青森県 黒石市,0,40755,11663,NA,31946,5456,66,-21.614525825052144,-53.21958329760782
2205,青森県 五所川原市,0,68738,19484,NA,51415,7790,402,-25.20148971456836,-60.0184766988298
2206,青森県 十和田市,0,67050,21172,NA,60378,10306,659,-9.950782997762865,-51.32250141696581
2207,青森県 三沢市,0,39962,12985,NA,39152,8482,679,-2.0269255793003316,-34.67847516365037
2208,青森県 むつ市,0,71567,21815,NA,54103,9039,857,-24.402308326463316,-58.56520742608298
2209,青森県 つがる市,0,46869,12617,NA,30934,4695,28,-33.999018541039916,-62.788301497978914
2210,青森県 平川市,0,38979,10689,NA,30567,5144,4,-21.580851227584084,-51.875760127233605
2301,青森県 東津軽郡 平内町,0,17501,4906,1,10126,1352,6,-42.1404491171933,-72.44190786791684
2303,青森県 東津軽郡 今別町,0,7113,1804,NA,2334,220,NA,-67.18684099536061,-87.8048780487805
2304,青森県 東津軽郡 蓬田村,0,4360,1098,NA,2540,309,NA,-41.743119266055054,-71.85792349726776
2307,青森県 東津軽郡 外ヶ浜町,0,14955,4021,NA,5401,544,4,-63.884988298228016,-86.47102710768466
2321,青森県 西津軽郡 鰺ヶ沢町,0,17402,4326,NA,9044,1119,10,-48.02896218825422,-74.13314840499307
2323,青森県 西津軽郡 深浦町,0,15445,3703,NA,7346,729,NA,-52.43768209776627,-80.31325951930867
2343,青森県 中津軽郡 西目屋村,0,2812,683,NA,1265,188,NA,-55.014224751066855,-72.47437774524158
2361,青森県 南津軽郡 藤崎町,0,17787,4932,NA,14573,2546,7,-18.069376510934955,-48.37793998377939
2362,青森県 南津軽郡 大鰐町,0,16312,4286,NA,8665,1111,1,-46.87959784207945,-74.07839477368175
2367,青森県 南津軽郡 田舎館村,0,10053,2745,NA,7326,1172,6,-27.126230975828115,-57.30418943533697
2381,青森県 北津軽郡 板柳町,0,19215,5134,NA,12700,1868,1,-33.90580275826177,-63.61511492014025
2384,青森県 北津軽郡 鶴田町,0,16892,4409,NA,12074,1731,NA,-28.522377456784277,-60.73939668859152
2387,青森県 北津軽郡 中泊町,0,19968,5471,NA,9657,1177,NA,-51.637620192307686,-78.48656552732591
2401,青森県 上北郡 野辺地町,0,18419,5375,NA,12374,1886,3,-32.81937130137358,-64.91162790697675
2402,青森県 上北郡 七戸町,0,22707,6239,NA,14556,2009,5,-35.89641960628881,-67.79932681519473
2405,青森県 上北郡 六戸町,0,10532,2951,NA,10447,1705,NA,-0.8070641853399119,-42.22297526262284
2406,青森県 上北郡 横浜町,0,6590,1640,NA,4229,722,NA,-35.82701062215477,-55.97560975609757
2408,青森県 上北郡 東北町,0,22587,6266,NA,16428,2487,11,-27.26789746314252,-60.309607405043096
2411,青森県 上北郡 六ヶ所村,0,11104,2972,NA,10367,2558,214,-6.637247838616711,-13.930013458950196
2412,青森県 上北郡 おいらせ町,0,17637,5291,NA,24273,4416,338,37.625446504507565,-16.537516537516538
2423,青森県 下北郡 大間町,0,7624,2102,NA,4718,738,10,-38.11647429171039,-64.89058039961941
2424,青森県 下北郡 東通村,0,9975,2600,NA,5955,965,NA,-40.30075187969925,-62.88461538461539
2425,青森県 下北郡 風間浦村,0,3917,962,NA,1636,173,3,-58.23334184324737,-82.01663201663202
2426,青森県 下北郡 佐井村,0,4174,1004,NA,1788,192,4,-57.16339242932439,-80.87649402390437
2441,青森県 三戸郡 三戸町,0,15606,4027,NA,9082,1146,61,-41.80443419197745,-71.54209088651602
2442,青森県 三戸郡 五戸町,0,23720,6293,NA,16042,2262,NA,-32.36930860033726,-64.0552995391705
2443,青森県 三戸郡 田子町,0,8878,2173,NA,4968,604,1,-44.04145077720207,-72.20432581684307
2445,青森県 三戸郡 南部町,0,24495,6256,NA,16809,2324,1,-31.37783221065523,-62.85166240409208
2446,青森県 三戸郡 階上町,0,10199,2912,NA,13496,2376,242,32.326698695950576,-18.40659340659341
