id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1646,北海道 十勝総合振興局 本別町,1,6537,1718,NA,3228,562,1,-50.61955025240936,-67.28754365541327
1647,北海道 十勝総合振興局 足寄町,1,6293,1577,NA,3215,505,13,-48.91148895598284,-67.97717184527585
1648,北海道 十勝総合振興局 陸別町,1,2501,586,NA,1138,208,NA,-54.498200719712116,-64.50511945392492
1649,北海道 十勝総合振興局 浦幌町,1,4809,1238,NA,2138,393,9,-55.541692659596585,-68.25525040387723
1661,北海道 釧路総合振興局 釧路町,1,6952,2555,NA,9101,1821,105,30.911967779056383,-28.727984344422698
1662,北海道 釧路総合振興局 厚岸町,1,7903,2157,NA,4173,775,1,-47.197266860685815,-64.07046824292999
1663,北海道 釧路総合振興局 浜中町,1,4579,1317,NA,2726,549,5,-40.467350949989076,-58.31435079726651
1664,北海道 釧路総合振興局 標茶町,1,6144,1720,NA,3471,652,NA,-43.505859375,-62.09302325581396
1665,北海道 釧路総合振興局 弟子屈町,1,5958,1690,NA,3314,489,39,-44.37730782141658,-71.06508875739645
1667,北海道 釧路総合振興局 鶴居村,1,1334,364,NA,1254,207,7,-5.997001499250376,-43.13186813186813
1668,北海道 釧路総合振興局 白糠町,1,7141,1989,NA,3414,528,2,-52.19156980815012,-73.45399698340876
1691,北海道 根室振興局 別海町,1,9800,3169,NA,7286,1558,326,-25.653061224489793,-50.83622593878194
1692,北海道 根室振興局 中標津町,1,10634,3632,NA,11339,2399,69,6.629678390069582,-33.948237885462554
1693,北海道 根室振興局 標津町,1,4029,1240,NA,2465,490,16,-38.81856540084389,-60.483870967741936
1694,北海道 根室振興局 羅臼町,1,4480,1479,NA,2346,429,4,-47.63392857142858,-70.99391480730223
2201,青森県 青森市,1,147948,47096,NA,128049,22041,6701,-13.449995944521042,-53.19984712077459
2202,青森県 弘前市,1,91302,27936,NA,77251,15869,968,-15.38958620840727,-43.19516036655212
2203,青森県 八戸市,1,120304,39522,NA,106818,20093,1237,-11.209934831759538,-49.15996154040787
2204,青森県 黒石市,1,19317,5634,NA,14789,2766,32,-23.440492830149605,-50.905218317358894
2205,青森県 五所川原市,1,32736,9134,NA,23252,3865,250,-28.97116324535679,-57.68557039632143
2206,青森県 十和田市,1,32596,10455,NA,28685,5233,315,-11.998404712234635,-49.94739359158298
2207,青森県 三沢市,1,20019,6647,NA,19602,4714,475,-2.0830211299265655,-29.080788325560402
2208,青森県 むつ市,1,34878,10986,NA,26104,4919,436,-25.156258959802745,-55.22483160385946
2209,青森県 つがる市,1,22665,6200,NA,14363,2496,15,-36.629163909110964,-59.74193548387097
2210,青森県 平川市,1,18695,5228,NA,14188,2605,1,-24.108050280823747,-50.17214996174446
2301,青森県 東津軽郡 平内町,1,8551,2466,1,4818,709,4,-43.65571278213074,-71.24898621248987
2303,青森県 東津軽郡 今別町,1,3508,932,NA,1119,127,NA,-68.10148232611175,-86.37339055793991
2304,青森県 東津軽郡 蓬田村,1,2078,549,NA,1211,157,NA,-41.7228103946102,-71.40255009107467
2307,青森県 東津軽郡 外ヶ浜町,1,7564,2132,NA,2527,304,4,-66.59175039661555,-85.74108818011257
2321,青森県 西津軽郡 鰺ヶ沢町,1,8301,2114,NA,4145,602,6,-50.06625707746055,-71.52317880794702
2323,青森県 西津軽郡 深浦町,1,7366,1744,NA,3397,382,NA,-53.88270431713278,-78.09633027522935
2343,青森県 中津軽郡 西目屋村,1,1362,350,NA,589,95,NA,-56.75477239353892,-72.85714285714286
2361,青森県 南津軽郡 藤崎町,1,8642,2471,NA,6748,1242,4,-21.916223096505437,-49.73694860380413
2362,青森県 南津軽郡 大鰐町,1,7790,2104,NA,3934,578,NA,-49.499358151476244,-72.52851711026615
2367,青森県 南津軽郡 田舎館村,1,4778,1322,NA,3425,625,5,-28.317287568020088,-52.7231467473525
2381,青森県 北津軽郡 板柳町,1,9270,2492,NA,5806,938,1,-37.36785329018338,-62.35955056179776
2384,青森県 北津軽郡 鶴田町,1,8107,2140,NA,5553,865,NA,-31.503638830640192,-59.57943925233644
2387,青森県 北津軽郡 中泊町,1,9905,2767,NA,4432,616,NA,-55.25492175668853,-77.73762197325624
2401,青森県 上北郡 野辺地町,1,8864,2592,NA,5776,963,1,-34.83754512635379,-62.84722222222222
2402,青森県 上北郡 七戸町,1,10869,3082,NA,6964,1081,3,-35.92786824914895,-64.92537313432835
2405,青森県 上北郡 六戸町,1,5138,1509,NA,5084,875,NA,-1.050992604126122,-42.01457919151756
2406,青森県 上北郡 横浜町,1,3188,812,NA,2071,422,NA,-35.03764115432874,-48.029556650246306
2408,青森県 上北郡 東北町,1,10892,3097,NA,7846,1331,8,-27.9654792508263,-57.02292541168873
