id_muni2020,name_muni2020,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_age20_39
4505,宮城県 遠田郡 美里町,14479,3934,NA,12378,1920,18,-51.19471276054905
4581,宮城県 牡鹿郡 女川町,8015,2050,NA,3079,557,NA,-72.82926829268293
4606,宮城県 本吉郡 南三陸町,11368,2743,NA,6245,818,1,-70.17863652934744
5201,秋田県 秋田市,157270,51577,NA,162261,28004,2423,-45.70448067937258
5202,秋田県 能代市,40091,10381,NA,27036,3207,9,-69.10702244485117
5203,秋田県 横手市,62355,15941,NA,45229,6110,77,-61.67116241139201
5204,秋田県 大館市,50068,13398,NA,36686,4998,193,-62.69592476489028
5206,秋田県 男鹿市,24848,6471,NA,13294,1374,62,-78.76680574872508
5207,秋田県 湯沢市,34162,8611,NA,21976,2639,30,-69.35315294390895
5209,秋田県 鹿角市,23997,5934,NA,15404,1784,37,-69.93596225143241
5210,秋田県 由利本荘市,49795,13325,NA,38865,5446,253,-59.129455909943715
5211,秋田県 潟上市,17098,5077,NA,16753,2496,45,-50.83710852865866
5212,秋田県 大仙市,55236,14528,NA,41370,5722,243,-60.61398678414097
5213,秋田県 北秋田市,26709,6450,NA,16041,1674,19,-74.04651162790698
5214,秋田県 にかほ市,16491,4395,NA,12217,1435,1,-67.34926052332196
5215,秋田県 仙北市,20210,5343,NA,13202,1546,46,-71.06494478757253
5303,秋田県 鹿角郡 小坂町,5553,1228,NA,2548,254,NA,-79.31596091205212
5327,秋田県 北秋田郡 上小阿仁村,2278,459,NA,1077,75,NA,-83.66013071895425
5346,秋田県 山本郡 藤里町,3039,705,NA,1516,137,NA,-80.56737588652483
5348,秋田県 山本郡 三種町,13616,3387,NA,8220,857,NA,-74.6973723058754
5349,秋田県 山本郡 八峰町,6173,1441,NA,3506,341,NA,-76.33587786259541
5361,秋田県 南秋田郡 五城目町,8331,2016,NA,4553,471,2,-76.63690476190477
5363,秋田県 南秋田郡 八郎潟町,4303,1228,NA,3049,340,3,-72.31270358306189
5366,秋田県 南秋田郡 井川町,3289,876,NA,2436,249,13,-71.57534246575342
5368,秋田県 南秋田郡 大潟村,1629,498,NA,1511,228,8,-54.216867469879524
5434,秋田県 仙北郡 美郷町,13731,3470,NA,9912,1268,NA,-63.45821325648415
5463,秋田県 雄勝郡 羽後町,11001,2622,NA,7188,937,8,-64.26392067124333
5464,秋田県 雄勝郡 東成瀬村,2069,458,NA,1213,136,NA,-70.3056768558952
